iter	Passed	Remaining
0	0	770
1	1	673
2	1	633
3	2	616
4	3	607
5	3	597
6	4	608
7	6	763
8	6	756
9	7	741
10	8	728
11	8	714
12	9	699
13	9	685
14	10	675
15	10	666
16	11	659
17	11	650
18	12	643
19	13	637
20	13	631
21	14	626
22	14	621
23	15	616
24	15	613
25	16	608
26	16	604
27	17	600
28	18	615
29	19	644
30	20	647
31	21	645
32	22	645
33	22	643
34	23	641
35	23	638
36	24	639
37	25	636
38	25	633
39	26	629
40	26	626
41	27	623
42	27	620
43	28	617
44	28	614
45	29	611
46	30	608
47	30	606
48	31	603
49	31	601
50	32	599
51	33	616
52	34	622
53	35	623
54	36	623
55	36	620
56	37	618
57	37	616
58	38	613
59	39	611
60	39	608
61	40	606
62	40	603
63	41	601
64	41	599
65	42	597
66	42	595
67	43	593
68	43	591
69	44	589
70	44	587
71	45	585
72	46	585
73	46	583
74	47	581
75	48	589
76	49	591
77	50	591
78	50	590
79	51	588
80	51	587
81	52	586
82	52	581
83	53	580
84	53	578
85	54	576
86	54	575
87	55	573
88	55	571
89	56	570
90	56	568
91	57	567
92	58	566
93	58	564
94	59	562
95	59	563
96	60	561
97	60	560
98	61	558
99	61	557
100	63	563
101	64	564
102	64	565
103	65	564
104	66	563
105	66	562
106	67	561
107	67	559
108	68	558
109	68	556
110	69	555
111	69	554
112	70	552
113	70	551
114	71	550
115	72	549
116	72	546
117	72	545
118	73	545
119	74	545
120	75	545
121	75	544
122	76	543
123	76	543
124	78	548
125	79	553
126	80	551
127	80	549
128	81	547
129	81	546
130	82	544
131	82	542
132	83	541
133	83	539
134	83	538
135	84	536
136	84	535
137	85	533
138	85	532
139	86	530
140	86	529
141	87	527
142	87	526
143	88	524
144	88	523
145	89	521
146	89	520
147	90	519
148	90	517
149	91	516
150	92	519
151	93	520
152	93	520
153	94	519
154	95	518
155	95	516
156	96	515
157	96	514
158	96	512
159	97	511
160	97	509
161	98	507
162	98	506
163	99	505
164	99	504
165	100	502
166	100	501
167	101	500
168	101	499
169	102	498
170	102	497
171	103	496
172	103	495
173	104	494
174	104	493
175	105	491
176	105	490
177	106	489
178	107	494
179	108	495
180	109	495
181	110	496
182	111	496
183	111	495
184	112	496
185	113	495
186	113	494
187	114	493
188	114	492
189	115	491
190	115	489
191	116	488
192	116	487
193	117	486
194	117	485
195	118	484
196	118	482
197	118	481
198	119	480
199	119	479
200	120	478
201	121	478
202	122	480
203	123	482
204	124	483
205	125	485
206	126	485
207	127	485
208	128	486
209	129	486
210	129	485
211	130	485
212	131	484
213	131	483
214	132	482
215	132	481
216	133	481
217	133	480
218	134	479
219	134	478
220	135	478
221	137	483
222	138	483
223	139	483
224	139	482
225	140	480
226	140	479
227	141	479
228	142	478
229	142	477
230	143	477
231	143	476
232	144	475
233	144	474
234	145	473
235	145	472
236	146	471
237	146	470
238	147	468
239	147	467
240	148	466
241	148	465
242	150	468
243	151	469
244	152	468
245	152	468
246	153	467
247	153	466
248	154	465
249	154	464
250	155	463
251	155	462
252	156	461
253	156	460
254	157	459
255	157	458
256	158	457
257	158	456
258	159	455
259	159	454
260	160	453
261	160	452
262	161	451
263	161	451
264	162	450
265	162	449
266	163	448
267	163	447
268	164	447
269	165	447
270	166	447
271	167	447
272	167	446
273	168	446
274	168	445
275	169	444
276	169	443
277	170	442
278	170	441
279	171	440
280	171	439
281	172	438
282	172	437
283	173	437
284	173	436
285	174	435
286	174	434
287	175	433
288	175	432
289	176	431
290	176	430
291	177	430
292	178	429
293	178	429
294	180	430
295	181	430
296	181	430
297	182	429
298	183	429
299	183	428
300	184	428
301	185	427
302	185	426
303	185	425
304	186	424
305	186	423
306	187	423
307	187	422
308	188	421
309	188	420
310	189	419
311	189	418
312	190	417
313	190	417
314	191	416
315	192	415
316	192	415
317	194	416
318	195	416
319	195	416
320	196	415
321	197	415
322	197	414
323	198	413
324	198	412
325	199	412
326	199	411
327	200	410
328	200	409
329	201	408
330	201	407
331	202	406
332	202	405
333	203	405
334	203	404
335	204	403
336	204	402
337	204	401
338	205	400
339	205	399
340	206	399
341	207	398
342	209	400
343	210	401
344	211	400
345	211	399
346	212	398
347	212	398
348	213	397
349	213	396
350	213	395
351	214	394
352	214	393
353	215	393
354	215	392
355	216	391
356	216	390
357	217	389
358	217	388
359	218	388
360	218	387
361	219	386
362	219	385
363	220	385
364	221	384
365	221	383
366	222	384
367	223	384
368	224	383
369	225	383
370	225	382
371	226	382
372	226	381
373	227	380
374	228	380
375	229	380
376	229	379
377	229	378
378	230	377
379	231	376
380	231	376
381	232	375
382	232	375
383	233	374
384	234	373
385	234	373
386	234	372
387	235	371
388	236	370
389	236	369
390	238	371
391	239	371
392	240	371
393	241	371
394	241	370
395	242	369
396	243	369
397	244	369
398	244	368
399	245	367
400	245	366
401	246	366
402	246	365
403	247	364
404	247	363
405	247	362
406	248	361
407	248	361
408	249	360
409	250	359
410	250	359
411	251	358
412	252	358
413	253	358
414	254	358
415	254	357
416	255	357
417	256	356
418	256	355
419	257	354
420	258	354
421	258	354
422	258	353
423	259	352
424	259	351
425	260	350
426	260	350
427	261	349
428	261	348
429	262	347
430	262	347
431	263	346
432	263	345
433	264	344
434	264	344
435	265	343
436	265	342
437	266	341
438	267	342
439	269	342
440	269	342
441	270	341
442	271	341
443	272	340
444	272	339
445	273	339
446	273	338
447	274	338
448	275	337
449	275	336
450	276	336
451	276	335
452	276	334
453	277	333
454	277	332
455	278	332
456	278	331
457	279	330
458	280	330
459	280	329
460	281	329
461	282	328
462	283	328
463	284	328
464	285	327
465	285	327
466	286	327
467	287	326
468	287	325
469	288	325
470	289	324
471	289	324
472	290	323
473	290	322
474	291	321
475	291	321
476	292	320
477	292	319
478	293	319
479	293	318
480	294	317
481	294	316
482	295	316
483	295	315
484	301	320
485	302	320
486	303	319
487	303	318
488	304	318
489	305	317
490	305	317
491	306	316
492	306	315
493	307	314
494	307	314
495	308	313
496	308	312
497	309	311
498	309	311
499	310	310
500	310	309
501	313	310
502	314	310
503	314	309
504	315	308
505	315	308
506	316	307
507	316	306
508	317	306
509	317	305
510	318	304
511	318	303
512	319	303
513	319	302
514	320	301
515	320	300
516	321	299
517	321	299
518	322	298
519	322	297
520	323	297
521	323	296
522	324	295
523	324	294
524	325	294
525	325	293
526	326	293
527	327	293
528	328	292
529	329	291
530	329	291
531	330	290
532	330	289
533	331	289
534	331	288
535	332	287
536	332	286
537	333	286
538	333	285
539	334	284
540	334	283
541	335	283
542	335	282
543	336	281
544	336	281
545	337	280
546	337	279
547	338	278
548	338	278
549	339	277
550	339	276
551	340	276
552	340	275
553	342	275
554	343	275
555	344	274
556	344	274
557	345	273
558	346	273
559	346	272
560	347	271
561	347	270
